id,edge1_id,edge2_id,node1_id,node2_id,capacity(millisat)

0,0,1,971,1159,1102855

1,2,3,1386,2111,850150

2,4,5,1344,1118,1116253

3,6,7,1762,1118,1413959

4,8,9,5135,3944,990437

5,10,11,5971,5042,919240

6,12,13,5971,5042,969082

7,14,15,1762,1332,948318

8,16,17,167,1332,818820

9,18,19,3150,1332,1015834

10,20,21,4450,1332,1068707

11,22,23,4450,1332,1119226

12,24,25,3070,4253,1118023

13,26,27,933,3150,929264

14,28,29,1762,1768,891488

15,30,31,1302,1452,734422

16,32,33,1302,761,965165

17,34,35,1302,1238,962600

18,36,37,1396,1302,962866

19,38,39,1477,1302,1318137

20,40,41,1302,1880,1063176

21,42,43,1302,1821,904940

22,44,45,1987,1302,1221822

23,46,47,1302,1762,991492

24,48,49,1302,1896,1009773

25,50,51,1302,2038,765632

26,52,53,2882,1302,1052255

27,54,55,1302,971,919014

28,56,57,1302,4044,958097

29,58,59,1392,1302,1230514

30,60,61,4394,2852,1087604

31,62,63,2469,4394,1063677

32,64,65,4394,2852,1200826

33,66,67,3238,1270,1143640

34,68,69,3238,1374,827514

35,70,71,3238,3297,738728

36,72,73,2076,3238,1064915

37,74,75,2076,3238,571777

38,76,77,3238,1276,1028565

39,78,79,1180,3238,795331

40,80,81,3238,1277,905771

41,82,83,3238,1276,1027349

42,84,85,3238,1134,1288093

43,86,87,3238,3644,926916

44,88,89,3238,1717,897854

45,90,91,3809,3238,1107743

46,92,93,3238,690,926121

47,94,95,2851,1332,1047145

48,96,97,1455,2851,793680

49,98,99,2851,1442,859291

50,100,101,2851,1442,1006583

51,102,103,844,2050,750286

52,104,105,2447,1102,907567

53,106,107,1387,1102,1204313

54,108,109,1710,1245,1211144

55,110,111,1102,1426,904661

56,112,113,1305,1102,810022

57,114,115,1442,1102,916782

58,116,117,1102,1389,1039638

59,118,119,1425,1102,443364

60,120,121,1267,1102,1262520

61,122,123,4521,1164,890776

62,124,125,3232,392,1258504

63,126,127,1425,1322,869813

64,128,129,1170,3090,1173356

65,130,131,3919,3090,1123212

66,132,133,1378,4212,1051031

67,134,135,3839,2393,1426522

68,136,137,1870,3839,963884

69,138,139,844,3839,975190

70,140,141,1807,3997,735894

71,142,143,1762,3997,1291606

72,144,145,1965,2035,978609

73,146,147,2451,1340,1129819

74,148,149,2440,1415,1109917

75,150,151,2440,2463,805933

76,152,153,1425,2440,887295

77,154,155,1284,346,1085373

78,156,157,244,1284,1085160

79,158,159,110,1284,1102764

80,160,161,1284,95,968901

81,162,163,1284,146,1033058

82,164,165,1318,1284,1041747

83,166,167,1659,1284,915904

84,168,169,2370,1284,1135350

85,170,171,1284,2785,1135934

86,172,173,1943,1284,1215516

87,174,175,3540,5259,1267993

88,176,177,1118,1137,721364

89,178,179,1713,1762,949009

90,180,181,1973,4280,1031319

91,182,183,981,1442,832675

92,184,185,2876,981,983934

93,186,187,1453,2447,512842

94,188,189,2447,1226,1298067

95,190,191,2447,844,835993

96,192,193,2447,3765,938372

97,194,195,986,1805,621832

98,196,197,2076,1243,630123

99,198,199,1387,1805,986411

100,200,201,1431,1805,1021416

101,202,203,1386,1243,1078884

102,204,205,1386,1805,1147373

103,206,207,1268,1805,746667

104,208,209,2418,1805,1083131

105,210,211,1267,1805,1162885

106,212,213,1453,53,962620

107,214,215,1453,1199,955298

108,216,217,1453,50,818167

109,218,219,1452,1443,1203492

110,220,221,1453,1354,958235

111,222,223,1762,1443,856545

112,224,225,1762,1443,1278874

113,226,227,1443,1445,981753

114,228,229,1943,1443,902905

115,230,231,1943,1443,859823

116,232,233,1453,2269,857612

117,234,235,1453,844,1250689

118,236,237,1453,1431,896239

119,238,239,3054,1453,1019838

120,240,241,752,1443,492077

121,242,243,2882,1443,1453555

122,244,245,1453,3388,740280

123,246,247,1453,669,1357334

124,248,249,844,1443,1167556

125,250,251,1453,4497,837499

126,252,253,1453,6028,1113965

127,254,255,1453,5924,825163

128,256,257,1424,2852,1077470

129,258,259,1635,2852,608844

130,260,261,971,2852,1001039

131,262,263,1275,2852,1491795

132,264,265,1635,2852,935899

133,266,267,844,1374,749779

134,268,269,1374,3388,895472

135,270,271,3156,1374,884165

136,272,273,1374,3516,496936

137,274,275,1870,1374,1017009

138,276,277,1437,3997,1049342

139,278,279,1048,2232,1067458

140,280,281,3540,5253,1242766

141,282,283,3540,5256,771825

142,284,285,3540,5258,662801

143,286,287,3540,5257,1379279

144,288,289,5280,3540,1110771

145,290,291,3540,5433,964631

146,292,293,3540,5434,926144

147,294,295,5435,3540,791664

148,296,297,3540,5436,1192991

149,298,299,5411,3540,768883

150,300,301,3540,5412,573074

151,302,303,3540,5421,515818

152,304,305,3540,5423,849250

153,306,307,5424,3540,930218

154,308,309,3540,5422,1034310

155,310,311,3540,5427,1036369

156,312,313,3540,5425,894110

157,314,315,3540,5426,976428

158,316,317,5960,3540,1044221

159,318,319,5042,6034,1028185

160,320,321,4126,2070,461305

161,322,323,4126,1124,1291419

162,324,325,4126,3070,675024

163,326,327,4126,2070,934898

164,328,329,703,649,613388

165,330,331,703,1216,1094045

166,332,333,703,761,1054577

167,334,335,703,790,915070

168,336,337,703,516,944071

169,338,339,703,971,933254

170,340,341,703,818,1307098

171,342,343,703,1134,922287

172,344,345,703,3150,879754

173,346,347,703,2125,915506

174,348,349,2468,1575,1237288

175,350,351,1030,2498,1110457

176,352,353,797,1762,960922

177,354,355,797,1170,762384

178,356,357,3868,797,788609

179,358,359,1341,2393,1052189

180,360,361,2076,154,1032514

181,362,363,2076,154,1091813

182,364,365,1455,1226,882256

183,366,367,1226,1565,1030061

184,368,369,2423,1226,1021594

185,370,371,2601,1226,1270800

186,372,373,1226,1326,853996

187,374,375,2946,1226,1152936

188,376,377,3920,1270,1183511

189,378,379,1300,1752,1154281

190,380,381,1031,1102,913441

191,382,383,1283,2167,1081302

192,384,385,1812,1762,1098250

193,386,387,2502,1333,985293

194,388,389,2054,2502,1090772

195,390,391,1802,2502,728625

196,392,393,2502,4421,1318503

197,394,395,797,3070,877545

198,396,397,77,61,839170

199,398,399,2470,2473,844232

200,400,401,836,1230,978034

201,402,403,1386,1230,1299536

202,404,405,1453,1230,1267800

203,406,407,5277,1230,1108995

204,408,409,3743,1230,971945

205,410,411,1224,1230,651444

206,412,413,1340,1230,1323509

207,414,415,3242,1230,933034

208,416,417,2075,1230,836018

209,418,419,379,1230,929280

210,420,421,1132,1230,1004714

211,422,423,1438,1230,1329459

212,424,425,1223,1230,908121

213,426,427,1425,1230,1447365

214,428,429,3500,1230,1080272

215,430,431,3505,1230,869693

216,432,433,1275,1230,873550

217,434,435,1957,1230,948626

218,436,437,2680,1230,1336612

219,438,439,1275,1230,1063838

220,440,441,1106,1230,961420

221,442,443,1237,1230,1223692

222,444,445,2213,1230,591614

223,446,447,2717,1230,1220134

224,448,449,1635,1230,1011782

225,450,451,1237,1230,736015

226,452,453,1444,1230,954628

227,454,455,3070,1230,1316444

228,456,457,1311,1230,555727

229,458,459,1348,1230,1110318

230,460,461,1348,1230,983604

231,462,463,2708,1230,1021529

232,464,465,2341,1230,1078229

233,466,467,3845,1230,1150803

234,468,469,1455,1230,805630

235,470,471,2993,1230,857957

236,472,473,1710,1230,922677

237,474,475,6064,1230,1613372

238,476,477,1277,1230,1074813

239,478,479,1165,516,1141396

240,480,481,1277,869,731645

241,482,483,1165,2181,1124140

242,484,485,1165,1762,674667

243,486,487,1136,1230,975418

244,488,489,1165,3388,1175958

245,490,491,3993,1230,1057001

246,492,493,5926,1230,1259251

247,494,495,2016,1230,248193

248,496,497,2502,1230,1237732

249,498,499,1121,1230,957318

250,500,501,1410,1230,840674

251,502,503,3013,985,1208619

252,504,505,1324,1230,1249470

253,506,507,1437,1230,962736

254,508,509,1324,1230,1276836

255,510,511,1305,1230,1171218

256,512,513,2232,1230,1284256

257,514,515,2094,1230,917405

258,516,517,950,1230,970478

