id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock

0,0,1,971,1159,315570,1000,100,0,144

1,0,0,1159,971,787285,1000,10,1,14

2,1,3,1386,2111,468700,4,56,1000,144

3,1,2,2111,1386,381450,1000,1,1000,40

4,2,5,1344,1118,472293,1000,1,1000,144

5,2,4,1118,1344,643960,100,1,1000,144

6,3,7,1762,1118,968321,1000,1,1000,144

7,3,6,1118,1762,445638,100,1,1000,144

8,4,9,5135,3944,388367,1000,1,1000,40

9,4,8,3944,5135,602070,0,0,1000,40

10,5,11,5971,5042,670171,1000,1,1000,40

11,5,10,5042,5971,249069,1000,1,1000,40

12,6,13,5971,5042,57832,1000,1,1000,40

13,6,12,5042,5971,911250,1000,1,1000,40

14,7,15,1762,1332,699854,1000,1,1000,144

15,7,14,1332,1762,248464,1000,1,1000,144

16,8,17,167,1332,143663,0,0,0,0

17,8,16,1332,167,675157,1000,1,1000,144

18,9,19,3150,1332,540248,1000,1,1000,40

19,9,18,1332,3150,475586,1000,1,1000,40

20,10,21,4450,1332,907793,1000,1,1000,40

21,10,20,1332,4450,160914,1000,1,1000,40

22,11,23,4450,1332,683873,1000,1,1000,40

23,11,22,1332,4450,435353,1000,1,1000,40

24,12,25,3070,4253,361075,998,1,1,40

25,12,24,4253,3070,756948,1000,1,1000,40

26,13,27,933,3150,212116,1000,1,1000,40

27,13,26,3150,933,717148,1000,1,1000,40

28,14,29,1762,1768,562507,1000,1,1000,144

29,14,28,1768,1762,328981,1000,1,1000,144

30,15,31,1302,1452,318519,1000,1,1000,144

31,15,30,1452,1302,415903,1000,1,1000,144

32,16,33,1302,761,476487,1000,1,1000,144

33,16,32,761,1302,488678,1000,1,1000,144

34,17,35,1302,1238,300582,1000,1,1000,144

35,17,34,1238,1302,662018,1000,1,1000,144

36,18,37,1396,1302,860214,0,0,0,0

37,18,36,1302,1396,102652,1000,1,1000,144

38,19,39,1477,1302,661489,0,0,0,0

39,19,38,1302,1477,656648,1000,1,1000,144

40,20,41,1302,1880,122922,1000,1,1000,144

41,20,40,1880,1302,940254,1000,1,1000,144

42,21,43,1302,1821,375392,1000,1,1000,144

43,21,42,1821,1302,529548,1000,1,1000,144

44,22,45,1987,1302,306011,0,0,0,0

45,22,44,1302,1987,915811,1000,1,1000,144

46,23,47,1302,1762,977174,1000,1,1000,144

47,23,46,1762,1302,14318,1000,1,1000,144

48,24,49,1302,1896,618884,1000,1,1000,144

49,24,48,1896,1302,390889,0,0,0,0

50,25,51,1302,2038,632672,1000,1,1000,144

51,25,50,2038,1302,132960,1000,1,1000,144

52,26,53,2882,1302,573550,1000,1,1000,40

53,26,52,1302,2882,478705,1000,1,1000,40

54,27,55,1302,971,279491,1000,1,1,40

55,27,54,971,1302,639523,1000,100,1000,144

56,28,57,1302,4044,652752,1000,1,1000,40

57,28,56,4044,1302,305345,1000,1000,1000,40

58,29,59,1392,1302,628081,900,100,1,144

59,29,58,1302,1392,602433,1000,1,1000,40

60,30,61,4394,2852,637266,1,1000,1000,4

61,30,60,2852,4394,450338,1000,50,1,40

62,31,63,2469,4394,717651,0,1000,1000,30

